Algorithm;TreeLength;Problem;testR2;trainingR2;time;Evaluations;Generations;Fold;Rows;Columns;ModelLength;ModelDepth;Threshold
OSGAstd;10;519_vinnie.tsv;0,722440633488092;0,762147178261222;00:31:26.6050000;200366;16;9;380;3;10;7;-1
OSGAstd;10;522_pm10.tsv;0,0177324836326089;0,2472051600633;00:40:34.5230000;223166;18;0;500;8;14;9;-1
OSGAstd;10;522_pm10.tsv;0,149467875056047;0,248725373320342;00:40:34.5230000;201366;16;1;500;8;14;9;-1
OSGAstd;10;522_pm10.tsv;0,289054737060532;0,250600863152792;00:40:34.5230000;241666;13;2;500;8;14;8;-1
OSGAstd;10;522_pm10.tsv;0,124153163787511;0,270336852572727;00:40:34.5230000;221466;15;3;500;8;14;9;-1
OSGAstd;10;522_pm10.tsv;0,0982450897600394;0,268066083688047;00:40:34.5230000;214566;14;4;500;8;14;9;-1
OSGAstd;10;522_pm10.tsv;0,468657734164789;0,227098888383772;00:40:34.5230000;261966;16;5;500;8;14;8;-1
OSGAstd;10;522_pm10.tsv;0,129545361786114;0,249000240544583;00:40:34.5230000;200866;23;6;500;8;14;8;-1
OSGAstd;10;522_pm10.tsv;0,354276466639067;0,245493917199338;00:40:34.5230000;227366;14;7;500;8;14;9;-1
OSGAstd;10;522_pm10.tsv;0,348145988312945;0,237786661180828;00:40:34.5230000;210866;19;8;500;8;13;9;-1
OSGAstd;10;522_pm10.tsv;0,121754455052595;0,262024781408309;00:40:34.5230000;215966;15;9;500;8;14;9;-1
OSGAstd;10;523_analcatdata_neavote.tsv;0,962615307403713;0,954378481934266;00:18:50.4450000;265166;13;0;100;3;14;9;-1
OSGAstd;10;523_analcatdata_neavote.tsv;0,594367719307624;0,95189891781166;00:18:50.4450000;219466;13;1;100;3;14;9;-1
OSGAstd;10;523_analcatdata_neavote.tsv;0,880031511210934;0,955195891020796;00:18:50.4450000;221066;13;2;100;3;14;8;-1
OSGAstd;10;523_analcatdata_neavote.tsv;0,927327781983346;0,959252324800996;00:18:50.4450000;209666;13;3;100;3;14;8;-1
OSGAstd;10;523_analcatdata_neavote.tsv;0,995569732411837;0,953272037869328;00:18:50.4450000;200266;12;4;100;3;14;9;-1
OSGAstd;10;523_analcatdata_neavote.tsv;0,911173871941791;0,959673146678807;00:18:50.4450000;238366;13;5;100;3;14;8;-1
OSGAstd;10;523_analcatdata_neavote.tsv;0,838000321245822;0,95126202721524;00:18:50.4450000;211166;11;6;100;3;14;8;-1
OSGAstd;10;523_analcatdata_neavote.tsv;0,994949773305983;0,952444927488593;00:18:50.4450000;222966;15;7;100;3;14;8;-1
OSGAstd;10;523_analcatdata_neavote.tsv;0,982606916308574;0,951907286722064;00:18:50.4450000;282366;13;8;100;3;14;9;-1
OSGAstd;10;523_analcatdata_neavote.tsv;0,909338438613584;0,960391677101635;00:18:50.4450000;216466;14;9;100;3;14;9;-1
OSGAstd;10;527_analcatdata_election2000.tsv;0,999997150759452;0,999983056233905;00:14:10.3630000;203366;14;0;67;15;13;7;-1
OSGAstd;10;527_analcatdata_election2000.tsv;0,999999801067384;0,999982373499753;00:14:10.3630000;208366;17;1;67;15;13;8;-1
OSGAstd;10;527_analcatdata_election2000.tsv;0,999922107167527;0,999983292363531;00:14:10.3630000;251066;15;2;67;15;13;8;-1
OSGAstd;10;527_analcatdata_election2000.tsv;0,99999832404551;0,999982046327855;00:14:10.3630000;240466;16;3;67;15;13;7;-1
OSGAstd;10;527_analcatdata_election2000.tsv;0,999965109955183;0,999985023756214;00:14:10.3630000;242366;18;4;67;15;13;8;-1
OSGAstd;10;527_analcatdata_election2000.tsv;0,999982314187597;0,999983264967758;00:14:10.3630000;248666;15;5;67;15;13;8;-1
OSGAstd;10;527_analcatdata_election2000.tsv;0,999989490087654;0,999994243755793;00:14:10.3630000;211166;14;6;67;15;13;8;-1
OSGAstd;10;527_analcatdata_election2000.tsv;0,999985416747635;0,999984347811894;00:14:10.3630000;222866;16;7;67;15;13;8;-1
OSGAstd;10;527_analcatdata_election2000.tsv;0,999999426397201;0,99998147958573;00:14:10.3630000;269266;16;8;67;15;13;8;-1
OSGAstd;10;527_analcatdata_election2000.tsv;0,993790397252838;0,999996654230792;00:14:10.3630000;205066;14;9;67;15;13;8;-1
OSGAstd;10;542_pollution.tsv;0,700109704227979;0,655433563850284;00:14:59.4690000;207166;15;0;60;16;14;9;-1
OSGAstd;10;542_pollution.tsv;0,33674201752052;0,690185399527126;00:14:59.4690000;205166;15;1;60;16;14;9;-1
OSGAstd;10;542_pollution.tsv;0,20095096069631;0,680283588123599;00:14:59.4690000;242566;16;2;60;16;14;8;-1
OSGAstd;10;542_pollution.tsv;0,536491518008965;0,676619716217499;00:14:59.4690000;214666;14;3;60;16;14;8;-1
OSGAstd;10;542_pollution.tsv;0,604370706463309;0,682297180746252;00:14:59.4690000;234366;12;4;60;16;14;9;-1
OSGAstd;10;542_pollution.tsv;0,144578802075529;0,670354518693315;00:14:59.4690000;275266;11;5;60;16;14;8;-1
OSGAstd;10;542_pollution.tsv;0,053193785476356;0,716028668367135;00:14:59.4690000;222366;15;6;60;16;14;8;-1
OSGAstd;10;542_pollution.tsv;0,71829679887476;0,664401020022484;00:14:59.4690000;214166;13;7;60;16;12;7;-1
OSGAstd;10;542_pollution.tsv;0,328402497226163;0,704910004709503;00:14:59.4690000;223766;12;8;60;16;10;6;-1
OSGAstd;10;542_pollution.tsv;0,737615003553883;0,685410035302042;00:14:59.4690000;215366;14;9;60;16;10;6;-1
